9410404,22,3082,203,6795
9303270,5,3001,159,6484
9606399,20,2544,325,6083
9209232,17,2464,237,5656
9502336,9,2578,148,5609
9406315,9,2546,128,5485
9306320,18,2310,273,5457
9311345,5,2446,144,5329
9512380,17,2175,320,5327
9303202,5,2416,132,5233
9304225,11,2136,259,5060
9210235,21,2138,181,4840
9211256,13,2180,77,4604
9404270,17,2000,164,4509
9507378,6,1742,324,4462
9302210,13,1889,173,4310
9807216,9,1728,281,4308
9304307,2,1868,186,4296
9604387,6,1754,236,4222
9211260,8,1960,70,4138
9304257,10,1768,179,4083
9207214,8,1650,232,4004
9307364,2,1810,119,3979
9303255,12,1844,77,3931
9311269,6,1748,132,3898
9402364,2,1707,153,3875
9310320,3,1710,133,3822
9407339,18,1295,391,3781
9312272,7,1652,152,3767
9307301,3,1726,92,3731
9203203,5,1616,152,3693
9504316,1,1542,184,3637
9311340,4,1643,107,3611
9308288,2,1600,134,3604
9803315,32,971,535,3579
9308271,3,1510,164,3515
9402253,10,1481,176,3500
9303284,8,1542,129,3479
9303230,10,1377,236,3472
9807344,12,1202,347,3457
9502298,6,1456,178,3452
9606211,4,1474,160,3432
9408406,3,1519,126,3419
9607394,4,1518,120,3400
9307201,4,1519,119,3399
9403338,7,1386,184,3331
9408384,2,1091,372,3300
9303274,4,1533,74,3292
9606345,6,1541,68,3292
9308246,6,1247,262,3286
9310212,2,1533,62,3254
9207234,10,1377,147,3205
9501334,5,1400,123,3174
9207279,11,1404,111,3152
9210242,10,1416,86,3100
9306309,6,1323,149,3099
9209268,3,1388,105,3094
9310233,3,1406,90,3085
9306205,10,1390,69,2997
9311214,5,1348,95,2986
9209289,2,1420,42,2968
9308333,8,1326,97,2951
9502300,3,1297,116,2945
9908362,1,1399,46,2937
9804398,18,834,415,2931
9209205,20,1163,192,2922
9312359,5,1236,141,2900
9803445,22,1119,209,2887
9503492,3,1333,71,2882
9211304,5,1234,122,2839
9402360,8,1156,168,2824
9505425,3,1235,114,2815
9705339,4,1244,104,2804
9205228,7,1256,86,2777
9311357,1,1291,60,2763
9207236,2,1288,60,2758
9505359,0,1199,120,2758
9308292,4,1270,70,2754
9307249,0,1302,49,2751
9204225,3,1260,68,2727
9408228,5,1219,93,2722
9402283,8,1073,188,2718
9603208,19,1128,146,2713
9512336,10,1147,129,2691
9612313,3,1080,173,2682
9811291,5,1018,201,2644
9308325,7,1228,58,2637
9508343,3,977,225,2632
9311339,4,1201,75,2631
9803466,4,956,236,2624
9203223,6,1203,70,2622
9209269,1,1256,36,2621
9801271,14,1115,120,2604
9506374,0,1158,90,2586
9209251,1,1117,115,2580
9401310,20,1109,110,2568
9204229,3,1214,37,2542
9303320,8,1038,148,2528
9601367,1,1064,133,2528
9807235,3,1100,107,2524
9312311,3,1101,106,2523
9203201,1,1172,56,2513
9311281,3,1167,58,2511
9408290,2,1168,56,2506
9211309,3,1111,85,2480
9307291,6,1065,110,2466
9406239,3,1180,34,2465
9505397,2,1153,43,2437
9304299,0,1067,101,2437
9411211,2,1065,100,2432
9605273,1,1107,70,2425
9811350,8,930,185,2423
9206218,6,1118,59,2419
9307247,1,907,199,2412
9207221,3,1092,72,2403
9405207,3,1087,73,2396
9501281,6,1004,123,2383
9401258,12,1045,88,2366
9304295,4,1061,79,2363
9811337,4,950,152,2360
9401254,4,1059,78,2356
9408404,2,1021,103,2353
9308349,1,1022,101,2348
9305306,3,1101,47,2346
9308222,2,1078,62,2344
9305262,1,1099,44,2331
9609331,4,947,141,2321
9808205,4,962,129,2315
9411229,4,1002,101,2311
9409287,1,1072,53,2304
9508347,9,862,190,2303
9409440,0,1013,89,2293
9310311,2,1022,82,2292
9407389,1,947,129,2282
9903282,29,902,148,2277
9811356,4,906,148,2260
9212278,4,948,115,2245
9501230,2,1053,45,2243
9212235,5,938,115,2226
9308287,2,1059,35,2225
9705292,2,999,71,2213
9403295,3,1035,46,2211
9401277,2,971,89,2211
9302244,0,1064,27,2209
9309299,1,1081,15,2208
9206203,0,1074,19,2205
9211321,7,936,108,2203
9311222,1,991,68,2187
9610451,30,854,148,2182
9607383,1,946,94,2175
9603238,1,962,78,2159
9303291,5,1003,42,2137
9302208,2,977,57,2127
9603404,1,891,114,2125
9306212,2,983,52,2124
9303280,6,1008,31,2115
9308262,0,883,114,2108
9506380,9,806,162,2107
9403240,2,984,45,2105
9302318,6,944,70,2104
9504296,2,1035,8,2096
9210253,10,892,100,2094
9408306,0,938,70,2086
9308335,1,941,65,2078
9401328,4,917,77,2069
9806404,17,801,149,2066
9405345,1,982,28,2049
9810457,0,846,117,2043
9410280,8,883,89,2041
9407404,2,942,51,2039
9206236,7,911,70,2039
9408213,4,889,85,2037
9807348,0,952,43,2033
9602260,7,913,66,2031
9207213,11,964,29,2026
9311325,4,857,102,2024
9403290,5,851,104,2019
9302225,5,852,102,2015
9204215,5,944,40,2013
9602281,2,881,82,2010
9806540,3,864,90,2001
9401219,2,796,135,1999
9510367,1,922,50,1995
9302316,8,759,155,1991
9806387,0,734,174,1990
9403306,2,911,55,1989
9701231,1,894,66,1987
9204216,2,911,53,1983
9501369,15,860,78,1969
9406245,3,862,80,1967
9312319,1,815,112,1967
9509406,2,913,46,1966
9306314,1,954,18,1963
9205230,4,904,50,1962
9303309,1,849,84,1951
9409458,6,844,84,1946
9806292,8,688,187,1945
9206205,3,877,61,1940
9507282,5,793,113,1930
9411365,6,714,164,1926
9306289,9,838,79,1922
9811353,1,845,75,1916
9503280,9,857,64,1915
9411426,9,693,171,1908
9603326,1,871,55,1908
9609434,2,807,96,1904
9512396,0,808,96,1904
9507262,0,831,79,1899
9603310,3,873,49,1896
9402231,0,876,46,1890
9908363,2,894,33,1889
9502401,2,865,52,1888
9610231,6,825,77,1887
9211266,4,871,47,1887
9507462,3,792,100,1887
9607372,5,788,96,1869
9301267,6,881,33,1867
9602414,3,852,53,1866
9906469,3,744,124,1863
9305305,1,908,15,1862
9510378,2,877,35,1861
9503439,2,834,63,1859
9707435,7,747,114,1843
9512406,14,687,151,1841
9405304,4,793,83,1839
9611433,5,687,152,1835
9303225,0,873,29,1833
9406289,2,835,51,1825
9411285,4,823,58,1824
9509423,8,799,66,1804
9308363,0,836,44,1804
9209277,4,865,23,1803
9710335,1,748,101,1800
9501265,2,800,66,1800
9412375,0,868,18,1790
9308210,2,817,50,1786
9609444,2,792,66,1784
9406389,1,811,52,1779
9503414,4,862,16,1776
9212305,5,804,54,1775
9805303,7,761,82,1775
9412385,4,704,120,1772
9309310,8,744,92,1772
9811448,5,692,127,1770
9708456,2,699,123,1769
9507363,0,794,59,1765
9507294,2,782,66,1764
9312248,2,839,28,1764
9808293,3,700,120,1763
9203220,2,813,44,1760
9506328,1,812,45,1760
9406203,0,829,33,1757
9607397,1,776,68,1757
9207218,3,806,45,1750
9409371,0,810,43,1749
9507386,0,732,95,1749
9305274,4,784,58,1746
9601243,2,764,72,1746
9408376,0,807,44,1746
9501277,2,743,85,1743
9309289,2,596,183,1743
9411203,4,797,47,1739
9505248,1,702,110,1735
9407287,4,773,60,1730
9203222,0,833,21,1729
9601360,3,739,79,1718
9404253,1,831,17,1714
9512378,2,814,28,1714
9604351,7,756,65,1714
9602239,3,688,111,1712
9701390,9,675,116,1707
9704376,4,764,58,1706
9502338,0,759,62,1704
9703290,4,739,74,1704
9905221,30,521,210,1702
9903422,3,691,105,1700
9404302,7,771,50,1699
9401241,3,746,68,1699
9403384,3,750,65,1698
9709473,0,796,35,1697
9610233,0,739,72,1694
9611423,0,791,36,1690
9507453,1,712,87,1686
9709356,7,757,55,1686
9302227,5,788,35,1686
9403254,0,796,31,1685
9603202,5,719,80,1683
9303241,3,699,94,1683
9311204,6,773,43,1681
9302317,4,783,37,1681
9207257,2,763,51,1681
9304277,4,767,47,1679
9803389,4,648,126,1678
9404282,4,668,112,1676
9605398,2,696,94,1676
9505385,3,706,85,1670
9406372,1,774,40,1669
9507253,2,752,54,1668
9311306,0,767,44,1666
9503479,3,811,13,1664
9504415,3,776,36,1663
9409454,0,782,33,1663
9602350,1,808,15,1662
9504333,1,764,44,1661
9403256,7,654,114,1657
9402347,1,782,30,1655
9502260,2,742,56,1654
